Group,Song,Lyrics
a1,Cherish This Love,"

Sorry for making you cry 
For turning away 
As you walk on by 
But baby I need to be strong 
And I need to move on with my life 
You know it's not that I don't care 
So don't make me feel bad 
It's not fair 
Baby you know all the reasons 
I made my decisions in life 
Now a girl's gotta do 
What a girl's gotta do 
And a boy has to become a man 
And I'm sorry for saying 
But it's love that I need 
And that love I just can't get from you 
 
It's funny how things turned around 
One day I am lost 
Then I'm found 
It happened so fast 
I knew it would last 
From the first time 
I first looked in your eyes 
Although it's so soon this I know 
I'll never be on my own 
Dreams turn to tears 
She buries my fears 
And I will cherish this love ever more 
 
You know it's not easy to do 
Turning my back on me and you 
But baby I need someone there 
Who will love me and care for my life 
Smiles they turned into tears 
And all of my dreams 
They all disappeared 
Baby this cannot be right 
So I'll turn down the light 
On our love 
Now a boy's gotta do 
What a boy's gotta do 
And a girl has to do what she can 
And I'm sorry for saying 
But it's love that I need 
And that love I just can't get from you 
 
It's funny how things turn around 
One day I am lost 
Then I'm found 
It happened so fast 
I knew it would last 
From the first time 
I first looked in your eyes 
Although it's so soon this I know 
I'll never be on my own 
Dreams turn to tears 
She buries my fears 
And I will cherish this love ever more 
 
And everything that could gone wrong 
Has gone wrong at some time 
Now I can see the light 
It was love at first sight 
And I'm not gonna let this girl go 
 
It's funny how things turn around 
One day I am lost 
Then I'm found 
It happened so fast 
I knew it would last 
From the first time 
I first looked in your eyes 
Although it's so soon this I know 
I'll never be on my own 
Dreams turn to tears 
She buries my fears 
And I will cherish this love ever more 
Yes, I will 
With you
"
a1,Do You Remember?,"

Looking back on yesterday 
Memories won't fade away 
I can't forget the love we made 
So beautiful, we had it all 
No use looking to the past 
We both knew it wouldn't last 
 
But it was fun we had a blast 
So beautiful, as I recall 
Where did it go yeah, yeah, yeah 
 
Say do you remember on the first of December 
When we were riding on the backseat 
Turned the radio on and played our favorite song 
And there we were making out to the back beat 
My girl'd get sad and your man'd get mad 
They don't have to know 
Do you remember singing, now? 
 
Breaking rules we always would 
Doing things we never should 
We were so bad but it felt so good 
Do you remember say do you remember 
I wonder where you are tonight 
But I know that you'll be alright 
'Cause I see our star is shining bright 
It's so beautiful, it will never fall 
Where did you go 
 
Come on now, sing it loud 
 
Say do you remember on the first of December 
When we were riding on the backseat 
Turned the radio on and played our favorite song 
And there we were making out to the back beat 
My girl'd get sad and your guy'd get mad 
They don't have to know, yeah 
Do you remember singing, now? 
 
Looking back on yesterday 
Memories won't fade away 
I can't forget the love we made 
So beautiful, we had it all 
Where did it go  
 
Come on now, sing it loud 
 
Say do you remember on the first of December 
When we were riding on the backseat 
Turned the radio on and played our favorite song 
And there we were making out to the back beat 
My girl'd get sad and your guy'd get mad 
They don't have to know 
Do you remember singing now? 
But I guess it's over now
"
a1,One Last Song,"

Take my hand, touch my face 
Let me feel your embrace 
Let me see in your eyes 
That you won't say goodbye 
Just tell me how you feel 
I don't know what you're thinking anymore 
 
And if you need me, you'd kiss me 
Then tell me how you feel 
And if you want me, you'd show me 
That your love is for real 
And if you love me 
You'd hold me in your arms where I belong 
So while I'm feeling strong 
I sing you one last song 
 
Let me ask time has passed 
Do you feel this could last 
If you don't, why then stay 
Take your wings, fly away 
I love you way too much 
To wanna be the one who brings you down 
 
And if you need me, you'd kiss me 
Then tell me how you feel 
And if you want me, you'd show me 
That your love is for real 
And if you love me 
You'd hold me in your arms where I belong 
So while I'm feeling strong 
I sing you one last song 
 
One last song I sing for you 
Like I always did 
This time it's for real 
I never come to you like this 
Expecting you to turn my kiss 
Oh no no no no no 
 
And if you need me, you'd kiss me 
Then tell me how you feel 
And if you want me, you'd show me 
That your love is for real 
And if you love me 
You'd hold me in your arms where I belong 
So while I'm feeling strong 
I sing you one last song 
Oh yeah 
I sing you one last song 
I sing you one last song
"
a1,Let It Out,"

You said you need room this evening 
Told you I'm leaving 
'Til you begged me to stay 
You got your high heels on to tease me 
Promised to please me 
Then you take it away 
 
The fire's fading baby stoke it up 
And lady roll up your sleeves 
Why can't you tell me that we're breaking up 
And not I need space to breathe 
 
If you can't wait any longer 
Let it out 
Let it in 
You think time will make you stronger 
Let it out 
Let it in 
 
Let it in 
 
You used to keep me up 'til the morning 
Keeping me warm until I had to be gone 
And now you can't find no room in your head 
To say you got out of bed 
Or that my coffee ain't on 
 
The door was open 'til you locked it up 
And then you threw out the key 
Why can't you tell me that we're breaking up 
And not I need space to breathe 
 
If you can't wait any longer 
Let it out 
Let it in 
You think time will make you stronger 
Let it out 
Let it in 
 
Let it out 
Let it in 
I can't wait 
Let it out 
Let it in 
I can't wait 
No 
 
If you can't wait any longer 
Let it out 
Let it in 
You think time will make you stronger 
Let it out 
Let it in 
 
Let it out 
Let it in 
I can't wait 
 
If you can't wait any longer 
Let it out 
Let it in 
You think time will make you stronger 
Let it out 
Let it in 
 
Let it out 
 
No I can't wait 
'Til you let me in 
I can't wait 
 
No I can't wait 
You got to let it out
"
a1,Nos Differences,"

You said that love was just a state of mind 
A puzzle made of pieces you can't find 
And for me you never really had the time 
I was blind, ooh, oh 
 
And everything that you meant to me 
Is written in the pages of my history 
But it's over now as far as I can see 
Suddenly 
 
Si nos diff̩rences nous donnent 
La force que le jour on se pardonne 
(And now I'm caught) And now, I'm caught in the middle 
Les raisons qu'ont avaient en nous 
De vouloir s'aimer plus que tout 
(And now I'm caught) And now, I'm caught in the middle 
 
Moving on she brings me brighter days 
Thoughts of you are in my mind always 
Like a memory that I can't erase 
It's here to stay, woo-ooh 
 
Si nos diff̩rences nous donnent 
La force que le jour on se pardonne 
(And now I'm caught) And now, I'm caught in the middle 
Les raisons qu'ont avaient en nous 
De vouloir s'aimer plus que tout 
(And now I'm caught) And now, I'm caught in the middle 
 
(So different) Nos diff̩rences 
(So easy) So easy 
(But I can't get over you) Plus rien ne t'efface 
(So different) Nos diff̩rences 
(So easy) So easy 
(But I can't get over you) Plus rien ne t'efface 
 
Si nos diff̩rences nous donnent 
La force que le jour on se pardonne 
And now, I'm caught in the middle 
Les raisons qu'ont avaient en nous 
De vouloir s'aimer plus que tout 
And now, I'm caught in the middle 
 
Si nos diff̩rences nous donnent 
La force que le jour on se pardonne 
And now, I'm caught in the middle 
Les raisons qu'ont avaient en nous 
De vouloir s'aimer plus que tout 
And now, I'm caught in the middle 
 
Si nos diff̩rences nous donnent 
La force que le jour on se pardonne 
And now, I'm caught in the middle 
Les raisons qu'ont avaient en nous 
De vouloir s'aimer plus que tout 
And now, I'm caught in the middle
"
a1,It Happens Every Day,"

What have I become 
I wish that I could go some place 
Where nobody knows you now 
Nobody knows you now 
Nobody knows you 
 
This heart it weighs a ton 
Some memories you can't escape 
And nobody shows you how 
Nobody shows you how 
 
Yet I still wait for you 
Living in this state for you 
'Cause I believe a heart can change 
It happens every day 
I'll wear these scars for you 
I'll reignite the spark for you 
'Cause I believe a heart can change 
It happens every day 
It happens every day 
 
I don't want friends around 
Still I don't wanna be alone, no no 
Somebody hold me now 
Somebody hold me now 
 
'Cause I still wait for you 
Living in this state for you 
'Cause I believe a heart can change 
It happens every day 
I'll wear these scars for you 
I'll reignite the spark for you 
'Cause I believe a heart can change 
It happens every day 
It happens every day 
 
Sometimes 
A sinner becomes a saint 
Sometimes 
Believers can lose their faith  
Sometimes 
We learn from our mistakes 
 
So I still wait for you 
Living in this state for you 
'Cause I believe a heart can change 
It happens every day 
I'll wear these scars for you 
I'll reignite the spark for you 
'Cause I believe a heart can change 
It happens every day 
It happens every day 
 
It happens every day
"
a1,Don't Wanna Lose You Again,"

I can feel that the wheels in motion 
In this life in this song time and again 
Looking back there's a new reflection 
Now I know what you give is what you get 
 
In the end it's all-or-nothing 
And I feel I'm ready now 
So I try to be the answer 
'Cause I don't wanna lose you again 
 
Now I bet that your ears are burning 
With three words on the tip of my tongue 
I just hope that your heart is open 
So that I can undo what I've done 
 
In the end it's all-or-nothing 
And I feel I'm ready now 
So I try to be the answer 
'Cause I don't wanna lose you again 
 
Like a star it's so hard to reach you 
Not enough just to call you a friend 
And I know that I don't deserve you 
But I don't wanna lose you again oh 
 
In the end it's all-or-nothing 
And I feel I'm ready now 
So I try to be the answer 
'Cause I don't wanna lose you again 
No, I don't wanna lose you again
"
a1,In Love And I Hate It,"

You are like the ocean 
And you're drowning in me 
The sunrise casting shadows as far as I can see 
'Cause you're so bittersweet (So bittersweet) 
 
I'm in love, I'm in love and I hate it 
I'm in love and so overrated 
What am I supposed to do? 
I wanna be with you 
 
I'm in love, I'm in love, I can't take it 
I'm in love and feel so naked 
What am I supposed to do? 
I wanna be with you 
 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it 
I hate it 
 
Sometimes I feel spineless 
I can't stand up straight 
And sometimes (Sometimes) I'm so stupid (Stupid) 
I make the same mistake 
But I can walk away (Can't walk away) 
 
I'm in love, I'm in love and I hate it 
I'm in love and so overrated 
What am I supposed to do? 
I wanna be with you 
 
I'm in love, I'm in love, I can't take it 
I'm in love and feel so naked 
What am I supposed to do? 
I wanna be with you 
 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it 
I hate it 
 
It's the agony, it's the ecstasy 
And it's thrilling me, and it's killing me 
Yeah, it's killing me 
I'm in love, I'm in love 
 
I'm in love, I'm in love and I hate it 
I'm in love and so overrated 
What am I supposed to do? 
I wanna be with you 
 
I'm in love, I'm in love, I can't take it 
I'm in love and feel so naked 
What am I supposed to do? 
I wanna be with you (I feel so naked) 
 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it 
I hate it 
 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it, hate it, hate it 
I'm in love and I hate it 
I hate it 
 
I'm in love and I hate it, hate it, hate it
"
a1,Bad Enough,"

Baby come back, hear me out 
Is there any way to reach you now 
Sitting on the edge, thinking out loud 
Maybe there is something that you know 
Something that only you know 
 
Crying out loud, I wanna do good 
I'd do it all for you if I could 
The way it looks now from where I stood 
Maybe there is something that you know 
Something that only you know 
 
But running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
Running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
If you want it bad enough 
 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
 
Take a little time think this through 
See it from another point of view 
Putting myself in any old shoes 
Maybe there is somewhere that you go 
Somewhere that only you go 
 
Trying to move on all the way down 
Waiting for your head to hit the ground 
Whatever you're in we'll figure it out 
Maybe there is something I do now 
That wherever you go 
 
But running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
Running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
If you want it bad enough 
 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
 
All in your head 
(All in your head) 
It's all in your head 
(You can fight this illusion) 
All in your head 
(All in your head) 
All in your head 
(You can fight, you can fight it) 
All in your head 
(All in your head) 
It's all in your head 
(You can fight this illusion) 
All in your head 
(All in your head) 
It's all in your head 
(You can fight it) 
 
Running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
Running away isn't the way 
'Cause if you want it bad enough 
Get it if you don't give up 
If you want it bad enough 
 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough 
If you want it bad 
If you want it bad 
If you want it bad enough
"
a1,Nothing In Common,"

Photographs in a cardboard box 
Remind me I can't turn back the clocks 
So far now from the starting blocks 
I still don't know what this key unlocks 
 
I say who 
Made you give it away 
Say who, oh, no 
There's nothing left to say 
 
You and me, seems we got 
Nothing in common now 
Nothing in common now 
There's nothing to talk about 
Like two ships sailing into 
Different directions now 
Isn't it funny how 
We've nothing in common now 
 
Spiraling down 
Memory lane I went 
Hitting it hard 
To hammer out the dents 
No more sitting on a broken fence 
It's to rebuild my confidence 
 
I say who 
Made you give it away 
I said who, oh, no 
There's nothing left to say, heh 
 
You and me, seems we got 
Nothing in common now 
Nothing in common now 
There's nothing to talk about 
Like two ships sailing into 
Different directions now 
Isn't it funny how 
We've nothing in common now 
 
We dance, we fall, we lose it all 
And we dance, we fall, we lose it all 
 
Nice to see that you're doing well 
You're happy now as far as I can tell 
We soldier on with the hands we're dealt 
We're strangers now to the way we felt 
 
You and me, seems we got 
Nothing in common now 
Nothing in common now 
There's nothing to talk about 
Like two ships sailing into 
Different directions now 
Isn't it funny how 
We've nothing in common now 
 
You and me, seems we got 
Nothing in common now 
Nothing in common now 
There's nothing to talk about 
Like two ships sailing into 
Different directions now 
Isn't it funny how 
We've nothing in common now 
 
We dance, we fall, we lose it all 
And we dance, we fall, we lose it all
"
a1,Take You Home,"

I'm gonna take this chance to be up all night 
I wanna fix this up just the way you like 
I wanna shake the weight of the world, that's right 
I gotta make the most of this old street light 
 
And if you think I'm talking too much just tell me 
If you need to change the pace then help me 
We've got ten more minutes to go 
I said, we've got ten more minutes before we go 
 
There's no regrets 
At least not yet 
And it's safe to go 
I heard it on the radio 
So I'll take you home 
 
You know I need somebody to love me yes 
You know that I won't settle for second best 
We gotta live like that ignore the rest 
So if they all go east, then we'll go west 
You know I dance my life to a different beat 
And I like it here on the edge of my seat 
And now the stage is set, and we're alone 
Where we'll end up later, we don't know 
 
There's no regrets 
At least not yet 
And it's safe to go 
I heard it on the radio 
So I'll take you home 
 
I take you home 
Well, I take you home 
 
And if it gets too crowded then may I suggest 
That when they all go east then we'll go west 
C'mon let's go, go, go 
And where we'll end up, we don't know! 
 
There's no regrets 
At least not yet 
And it's safe to go 
And I heard it on the radio' 
 
There's no regrets 
At least not yet 
And it's safe to go 
I heard it on the radio 
So I'll take you home 
 
There's no regrets 
At least not yet 
And it's safe to go 
I heard it on the radio 
So I'll take you home 
 
You know I take you 
You know I take you 
So I'll take you home
"
a1,Six Feet Under,"

I'm mad, still mad about you 
It's too bad, I'm bad without you 
 
Don't touch 
You've already said too much 
Pick and collect your stuff 
T-shirts and your toothbrush 
'Cause that's all you've got 
 
You can't keep what you're throwing away 
Our love is six feet underground 
I can't speak 'cause it's not easy to say 
Our love is six feet underground 
 
Lovesick, but I'm still sick of you 
I quit, was too quick to love you 
 
Don't touch 
You've already said too much 
Come back and collect your stuff 
T-shirts and your toothbrush 
'Cause that's all you've got 
 
You can't keep what you're throwing away 
Our love is six feet underground 
I can't speak 'cause it's not easy to say 
Our love is six feet underground 
 
There's no way back this time 
So we gotta leave it all behind 
 
Oh, oh, oh 
Oh, oh, oh 
Oh, oh, oh 
Oh, oh, oh 
 
You can't keep what you're throwing away 
Our love is six feet underground 
I can't speak 'cause it's not easy to say 
Our love is six feet underground 
 
You can't keep what you're throwing away 
(There's no way back this time) 
Our love is six feet underground 
I can't speak 'cause it's not easy to see 
(So we gotta leave it all behind) 
Our love is six feet underground 
 
You can't keep what you're throwing away 
(There's no way back this time) 
Our love is six feet underground 
I can't speak 'cause it's not easy to see 
(So we gotta leave it all behind) 
Our love is six feet underground
"
a1,"Good Things, Bad People","

I know a girl with a broken smile 
He's been hurting her for quite a while 
But she loves him 
She still loves him 
I've got a friend with a heart of gold 
He loved his wife even when he was told 
She's unfaithful 
He's still faithful 
 
I guess in life you don't always reap what you sow 
It doesn't make much sense but i'd like to know 
 
Why do good things happen to bad people 
Bad people 
Don't deserve it 
Why do bad things happen to good people 
Good people 
Don't deserve it 
 
I've seen a man working all his life 
Lose his job to a new device 
Still he's grateful 
Yeah, he's grateful 
I know somebody who's got all they need 
Who built an empire stepping on the weak 
Still ungrateful 
So ungrateful 
 
I guess in life you don't always reap what you sow 
It doesn't make much sense but I'd like to know 
 
Why do good things happen to bad people 
Bad people 
Don't deserve it 
Why do bad things happen to good people 
Good people 
Don't deserve it 
 
Who decides this? 
It seems so unfair 
Is there somebody out there? 
Who decides this? 
Does anyone care 
Is there somebody 
Somebody out there? 
 
Why do good things happen to bad people 
Bad people 
Don't deserve it 
Why do bad things happen to good people 
Good people 
Don't deserve it
"
a1,Perfect Disaster,"

Some of us were born to break 
The slightest knock is all it takes 
I'm sleeping while I'm wide awake, whoa 
 
I've tried to thicken up my skin 
I'm having trouble fitting in 
I'd rather sink than never swim, whoa 
 
Now all my life I have learned 
It's me just me against the world 
 
Now the world's moving faster 
This could be a disaster 
Is the change that I'm making 
Worth the risk that I'm taking 
Now the world's moving faster 
This could be ever after 
Is chaos creating  
The perfect disaster 
 
Every time I talk I choke 
I hide behind the songs I wrote 
It's killing me with every note, whoa 
 
Will all my fears be confirmed  
Is it me just me against the world 
 
Now the world's moving faster 
This could be a disaster 
Is the change that I'm making 
Worth the risk that I'm taking 
Now the world's moving faster 
This could be ever after 
Is chaos creating  
The perfect disaster 
 
As far as I am concerned 
It's now you and me against the world 
 
Now the world's moving faster 
This could be a disaster 
Is the change that I'm making 
Worth the risk that I'm taking 
Now the world's moving faster 
This could be ever after 
Is chaos creating  
The perfect disaster
"
a1,The Life That Could Have Been,"

I met someone the other day 
It's good to see her face again 
She's the one who got away 
Way back when 
 
Showed photos of her family 
Soon to marry mum to be 
She used to want all that with me 
And she smiled and I laughed 
 
Then I imagined if I didn't take that flight 
What would my world be like? 
Would I be standing at the altar by her side? 
Would her child be mine? 
And I think that I've just seen 
The life that could have been 
 
She's happy now and that's a fact 
And who am I to mess with that 
So I won't try to get her back 
In a way I'm glad 
 
'Cause that was then and this is now 
Still I can't help but think about 
All the things that I'm without 
But I wave the white flag 
 
Then I imagined if I didn't take that flight 
What would my world be like? 
Would I be standing at the altar by her side? 
Would her child be mine? 
And I think that I've just seen 
The life that could have been 
 
And as she was walking away 
I thought I saw her 
Turn back and hesitate 
Look at me as if to say 
 
I imagined if you didn't take that flight 
What would my world be like? 
Would you be standing at the altar by my side? 
What would our child look like? 
 
Then I imagined if I didn't take that flight 
What would my world be like? 
Would I be standing at the altar by her side? 
Would her child be mine? 
And it's the strangest thing 
And I think that I've just seen 
The life that could have been 
 
The life that should have been
"
a1,Out There,"

Come around to mine won't you 
Wanna spend some time with you 
Cut the chord and shoot the breeze 
 
Wanna improvise with you 
Put the world to rights with you 
Let me put your mind at ease 
 
There's a whole lotta love out there 
There's a whole lotta love out there 
There's a whole lotta love out there 
Out there 
Doo doo doo doo doo... 
 
Come and raise a glass with me 
Reminisce and laugh with me 
Go for broke and paint with me 
 
Come on roll the dice with me 
Flip the bird to life with me 
We can turn this all around 
 
There's a whole lotta love out there 
There's a whole lotta love out there 
And there's more than enough to spare 
There's a whole lotta love out there 
 
Doo doo doo doo doo... 
 
All I'm saying is 
Climb the wall you've been facing 
Catch the wave you've been chasing 
We've got something to live for now 
 
Come around to mine won't you 
Wanna spend some time with you 
Cut the chord and shoot the breeze 
 
There's a whole lotta love out there 
There's a whole lotta love out there 
And there's more than enough to spare 
There's a whole lotta love out there 
 
Doo doo doo doo doo...
"
a1,Waiting For Daylight,"

I miss your breathing 
When sleep doesn't come 
I can't help pretending you'll be home 
I can't face the future 
Now you're in the past 
Seems all of the best things never last 
 
But there's no use in crying 
There's no point denying 
I'm waiting for daylight to come 
 
They say I'll get through this 
But how could they know? 
How can I make it on my own? 
You're here in the shadow 
You cover my heart 
And I hear you whisper in the dark 
 
But there's no use in crying 
There's no point denying 
I'm waiting for daylight to come 
 
I don't wanna let you go 
But in time 
But in time 
I'll wake up for all I know 
I'll be fine 
 
But there's no use in crying 
There's no point denying 
I'm waiting for daylight to come
"
a1,Trust Me,"

Oh oh... oh... oh oh 
Oh oh... oh... oh oh 
 
Baby don't, baby don't treat me right 
Better get, better get out of sight 
Guess my dinner is in dark tonight 
Whooohh 
 
Shout it out, shout it out met all night 
Bringing in my ears 'til morning light 
Baby just wanna have fun tonight 
Whooohh 
 
Alright, it's OK 
Tomorrow (tomorrow), another day 
 
I would never tell you lie 
No I'm not that kind of guy 
'Cause I'm just tying to make it right 
Trust me, you can trust me 
So try 
 
Baby don't, baby don't break away 
Hear me out, hear me out what I say 
I can take it another day 
Whooohh 
 
Burn in up, burn in up baby stop 
Cool it down now before you blow your top 
I guess the dogs back sleeps in my spot 
Whooohh 
 
Alright (alright), it's OK (it's OK) 
Tomorrow (tomorrow), another day (hey) 
 
I would never tell you lie 
No I'm not that kind of guy 
'Cause I'm just tying to make it right (oh) 
Trust me, you can trust me (oh) 
(Trust me, you can trust me) 
So try 
 
Oh oh... oh... oh oh (try) 
 
Stay with me [8x] 
 
No I'm not that kind of guy 
'Cause I'm just tying to make it right 
 
I would never tell you lie 
No I'm not that kind of guy 
'Cause I'm just tying to make it right (whooohh) 
Trust me, you can trust me (whooohh) 
(Trust me, you can trust me) 
So try 
 
Oh oh... oh... oh oh (just trust me) 
Oh oh... oh... oh oh (try)
"
a1,Christopher Columbus,"

Standing in line, talking 'bout nothing 
When you walk right by 
And I wanna say something but 
I'm so shy it hurts 
You don't see me if I gave you my compass 
Then would you be more like Christopher Columbus 
And explore my world 
 
Hey now I've gotta tell you 
No I'm bursting to tell you 
I can't keep it inside 
 
Oh here goes, the truth is I'm yours 
But I may not be necessarily 
What you're looking for 
But oh who knows what fate has in store 
Come take a chance on me baby 
Come knock knock on my door 
Come knock knock on my door 
 
So the secret's out I've been discovered 
I'm feeling vulnerable my heart's uncovered 
But there's no reply 
I'll still be here 
I'll still be waiting 
I'll keep a look out until your ship comes sailing in 
Will you ever be mine 
 
Hey now how can I show you 
I'm bursting to tell you 
I can't keep it inside 
 
Oh here goes, the truth is I'm yours 
But I may not be necessarily 
What you're looking for 
But oh who knows what fate has in store 
Come take a chance on me baby 
Come knock knock on my door 
Oh come knock knock on my door 
 
Am I too late 
Have you been discovered 
I wish I'd been more like Christopher Columbus 
And found you first 
 
Oh here goes, the truth is I'm yours 
But I may not be necessarily 
What you're looking for 
But oh who knows what fate has in store 
Come take a chance on me baby 
Come knock knock on my door 
Take a chance on me baby 
Come knock knock on my door 
Come take a chance on me baby 
Come knock knock on my door 
Oh come knock knock on my door
"
a1,Riot,"

I got it wrong I made you angry so it seems 
Say I'm a douche bag 
But I don't know what that means 
I'm in the doghouse baby please throw me a bone 
You need some space but I can't bear to be alone 
 
And I don't know how to control your temper 
Just breathe in breathe out 
 
I don't like it when you sit there quiet 
Say it's nothing but I just don't buy it 
Think there's gonna be a riot 
A riot 
Here we go I know I should start running 
See your face and then I know what's coming 
Yeah, there's gonna be a riot 
A riot 
 
I tried to call you like a hundred times today 
You're so black and white 
When I'm all different shades of grey 
I come around to see you but it only makes it worse 
This won't be our last fight 
And it sure hell ain't the first 
 
I wanna hear you shout 
Let go of your temper 
Just breathe in breathe out 
 
I don't like it when you sit there quiet 
Say it's nothing but I just don't buy it 
Think there's gonna be a riot 
A riot 
Here we go I know I should start running 
See your face and then I know what's coming 
Yeah, there's gonna be a riot 
A riot 
 
I don't like it when you sit there quiet 
Say it's nothing but I just don't buy it 
Think there's gonna be a riot 
A riot 
Here we go I know I should start running 
See your face and then I know what's coming 
Yeah, there's gonna be a riot 
A riot 
 
We've got to make up wo oh oh 
We've got to make up wo oh oh 
Wo oh oh  
Wo oh oh  
Wo oh oh  
Wo oh oh  
 
We've got to make up wo oh oh 
We've got to make up wo oh oh 
Wo oh oh  
Wo oh oh  
Wo oh oh  
Wo oh oh  
 
I don't like it when you sit there quiet 
Say it's nothing but I just don't buy it 
Think there's gonna be a riot 
A riot 
Here we go I know I should start running 
See your face and then I know what's coming 
Yeah, there's gonna be a riot 
A riot 
 
I don't like it when you sit there quiet 
Say it's nothing but I just don't buy it 
Think there's gonna be a riot 
A riot 
Here we go I know I should start running 
See your face and then I know what's coming 
Yeah, there's gonna be a riot 
A riot
"
a1,That Somebody Is Me,"

Forget about the world outside this is now or never 
I know we're gonna own this night you and I together 
 
You've been looking in the wrong wrong place for love 
You've been reaching out but you just can't touch 
You've been thinking 'bout in the way too much 
If you wanna be with someone 
 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is 
That somebody is me 
 
Forget about the world outside I'll be the best you ever 
This is gonna change your life I'm here to make it better 
 
 
You've been looking in the wrong wrong place for love 
You've been reaching out but you just can't touch 
You've been thinking 'bout in the way too much 
If you wanna be with someone 
 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is 
 
Ooh 
 
That somebody is 
 
Ooh 
 
That somebody is me 
 
Forget about the world outside 
This is gonna change your life 
 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is me 
That somebody is 
 
Forget about the world outside 
That somebody is me 
This is gonna change your life 
That somebody is me
"
a1,Lovesick,"

They said I should leave her but I won't 
Thinking of ways to walk away now but I don't 
Even if I could find a cure then I wouldn't try 
'Cause there's no way that I can say good bye 
 
I need your 
Love 
Give me your love sick 
Give me that 
Love 
Give me your love breaks 
Give me your love sick 
Give me that love 
Give me that give me that love 
 
They said I was wastin' time with you 
Said I was crazy only one thing I should do 
But I know the pill that I should take it taste bitter 
Guess I'm addicted to the pain you put me through 
 
Now 
Yeah gonna be that rhythm something you wanna be that be that rhythm something 
 
I need your love 
Baby I'm, lovesick 
Give me that love 
Give me your love breaks 
Baby I'm, lovesick 
 
Give me that 
Love 
Give me your love sick 
Give me that 
Love 
Give me your love breaks 
Give me your love sick 
Give me that love 
Give me that give me that love 
 
Yeah gonna be that rhythm something you wanna be that be that rhythm something
"
a1,Fallen From Grace,"

Is anybody there? 
I come up for air 
Feels like I'm drowning 
Does anybody care? 
It makes no sense at all 
Such a long way to fall 
I knew it was coming 
I could feel it in the air 
 
Feels like I'm falling 
It's time but your stalling 
You said all you need is a little time and some space 
These words that you've spoken 
Have left me so broken 
Seems at this moment that 
I've fallen from grace 
 
Is anyone around? 
My head hits the ground 
I feel like I'm no one 
I'm lost in the crowd 
It makes no sense at all 
So divided we fall 
I'm breaking my silence 
But you don't hear me call 
And you don't see me fall 
 
Feels like I'm falling 
It's time but your stalling 
You said all you need is a little time and some space 
These words that you've spoken 
Have left me so broken 
Seems at this moment that 
I've fallen from grace 
 
And everyday just feels the same 
I try so hard to walk away from everything I am 
Just closing in on me 
I just can't face the pain 
I sit around and wonder why? 
So many dreams can fade and die 
Well nothing is forever everything is never 
And I can't say goodbye 
 
Feels like I'm falling 
It's time but your stalling 
You said all you need is a little time and some space 
These words that you've spoken 
Have left me so broken 
Seems at this moment that 
I've fallen from grace
"
